Item,position,modality,cat,Condition,solution,property,concept,mean_auditory,mean_haptic,mean_visual,mean_perceptualstrength,mean_concreteness,mean_exclusivity,LSA_distance,prop_letters,prop_concreteness,prop_exclusivity,prop_lg10CD,prop_orthneigh,conc_letters,conc_concreteness,conc_exclusivity,conc_lg10CD,conc_orthneigh
178,prime,visual,v_het,visual2visual,Ja,Donker,Moment,1.294,0.96,2.952,2.952,2.665,0.439024391,0.684565,6,4,0.634146342,3.28,1,6,1.33,0.243902439,3.7,0
183,prime,auditory,a_de,auditory2visual,Ja,Ritmische,Neiging,2.522,1.389,1.867,2.522,2.535,0.19375,0.86689,9,3.27,0.2,1,0,7,1.8,0.1875,2.16,0
201,prime,auditory,a_het,auditory2visual,Ja,Luidruchtig,Noodgeval,4.014,1.086,2.486,4.014,2.53,0.385799404,0.814128,11,3.13,0.526315789,2.05,1,9,1.93,0.245283019,2.74,0
159,prime,visual,v_het,visual2visual,Ja,Groot,Onderscheid,1.792,1.646,3.438,3.438,2.5,0.283068783,0.910296,5,3.2,0.380952381,3.7,6,11,1.8,0.185185185,2.1,1
32,target,visual,v_het,haptic2visual,Ja,Briljant,Oosten,1.04,0.587,2.373,2.373,2.6,0.446428572,1.06043,8,1.93,0.25,2.85,1,6,3.27,0.642857143,2.71,5
35,target,visual,v_het,haptic2visual,Nee,Geblokt,Oosten,0.929,0.865,3.151,3.151,3.27,0.528975742,1.02688,7,,0.41509434,1.11,1,6,3.27,0.642857143,2.71,5
63,target,visual,v_het,visual2visual,Nee,Gevormd,Oosten,1.262,1.421,2.762,2.762,3.27,0.394009217,0.945895,7,,0.14516129,2.29,0,6,3.27,0.642857143,2.71,5
103,target,visual,v_het,auditory2visual,Ja,Luchtig,Oosten,0.817,0.921,2.762,2.762,2.87,0.510317461,1.00194,7,2.47,0.377777778,1.73,1,6,3.27,0.642857143,2.71,5
188,prime,auditory,a_de,auditory2visual,Nee,Giechelende,Overeenkomst,4.042,1.556,3.319,4.042,1.93,0.270701755,,11,,0.394736842,0.78,1,12,1.93,0.146666667,2.73,1
96,target,visual,v_de,auditory2visual,Ja,Verouderde,Pels,0.75,1.938,3.188,3.188,3.7,0.406759907,1.08048,10,2.8,0.454545455,1.18,0,4,4.6,0.358974359,1.26,9
107,target,visual,v_de,auditory2visual,Ja,Gespikkelde,Pels,0.375,1.188,3.313,3.313,4.235,0.602564103,0.756941,11,3.87,0.846153846,0.78,0,4,4.6,0.358974359,1.26,9
113,prime,haptic,h_het,haptic2visual,Nee,Kietelend,Pistool,2.161,4.089,3.268,4.089,4.87,0.2,,9,,0.307692308,0.6,1,7,4.87,0.092307692,3.23,0
123,prime,haptic,h_het,haptic2visual,Ja,Heet,Pistool,1.46,1.143,3.46,3.46,2.8,0.246153846,0.773426,4,3.33,0.4,3.74,18,7,2.27,0.092307692,3.23,0
209,prime,auditory,a_het,auditory2visual,Nee,Oorverdovend,Plan,3.444,0.701,1.271,3.444,2.965,0.46474359,0.973202,12,3,0.673076923,1.34,0,4,2.93,0.256410256,3.47,7
213,prime,auditory,a_het,auditory2visual,Ja,Hoorbaar,Plan,3.444,0.576,1.146,3.444,2.9,0.513621795,0.964573,8,2.87,0.770833333,1.15,0,4,2.93,0.256410256,3.47,7
14,target,visual,v_de,haptic2visual,Nee,Diepe,Plug,1.217,2.367,3.5,3.5,3.6,0.326666667,0.914433,5,3.07,0.253333333,2.69,10,4,4.13,0.4,1.56,3
15,target,visual,v_de,haptic2visual,Nee,Betoverende,Plug,1.117,1.667,2.85,2.85,3.2,0.330434783,0.938647,11,2.27,0.260869565,1.72,2,4,4.13,0.4,1.56,3
20,target,visual,v_de,haptic2visual,Ja,Verkoolde,Plug,0.817,1.817,2.85,2.85,4.13,0.362790698,0.91221,9,,0.325581395,1.32,1,4,4.13,0.4,1.56,3
53,target,visual,v_de,visual2visual,Nee,Enorme,Plug,1.083,2,3.25,3.25,2.965,0.338888889,0.970384,6,1.8,0.277777778,3.16,2,4,4.13,0.4,1.56,3
71,target,visual,v_de,visual2visual,Ja,Hoge,Plug,0.517,1.967,4.05,4.05,3.63,0.54375,1.03526,4,3.13,0.6875,3.19,21,4,4.13,0.4,1.56,3
80,target,visual,v_de,auditory2visual,Nee,Pure,Plug,1.167,1.917,2.875,2.875,3.23,0.271428572,0.995621,4,2.33,0.142857143,2.74,8,4,4.13,0.4,1.56,3
82,target,visual,v_de,auditory2visual,Nee,Golvende,Plug,1.792,2.479,3.875,3.875,4.13,0.284415585,0.923349,8,4.13,0.168831169,1.3,2,4,4.13,0.4,1.56,3
83,target,visual,v_de,auditory2visual,Ja,Metalen,Plug,1.417,3.167,3.75,3.75,4.1,0.3,0.86532,7,4.07,0.2,2.38,1,4,4.13,0.4,1.56,3
91,target,visual,v_de,auditory2visual,Nee,Vage,Plug,1.317,1.667,3.05,3.05,3.1,0.348148148,0.958488,4,2.07,0.296296296,2.18,14,4,4.13,0.4,1.56,3
166,prime,visual,v_de,visual2visual,Ja,Stomme,Plug,1.217,1.667,2.85,2.85,3.065,0.325,0.769553,6,2,0.25,3.43,10,4,4.13,0.4,1.56,3
182,prime,auditory,a_de,auditory2visual,Ja,Jammerende,Poëzie,2.722,1.611,2.056,2.722,2.93,0.182138481,,10,,0.254901961,1.2,1,6,2.93,0.109375,2.42,0
9,target,visual,v_de,haptic2visual,Ja,Saaie,President,1.968,0.825,2.516,2.516,2.53,0.292832168,0.934654,5,2.13,0.153846154,2.57,7,9,2.93,0.431818182,3.07,0
25,target,visual,v_de,haptic2visual,Ja,Schone,President,2.007,1.714,3.471,3.471,2.73,0.370230079,0.920504,6,2.53,0.308641975,2.82,4,9,2.93,0.431818182,3.07,0
99,target,visual,v_de,auditory2visual,Nee,Gloeiende,Prijs,1.088,1.513,3.775,3.775,3.24,0.425925926,0.941964,9,3.27,0.5,1.68,4,5,3.21,0.351851852,3.38,3
52,target,visual,v_de,visual2visual,Ja,Lelijke,Prins,1.688,1.482,3.741,3.741,2.83,0.319715143,0.785819,7,2.13,0.465517241,2.84,2,5,3.53,0.173913044,2.78,2
149,prime,visual,v_de,visual2visual,Nee,Vuile,Prins,1.556,2.246,2.929,2.929,3.7,0.224053296,0.938472,5,3.87,0.274193548,3.25,10,5,3.53,0.173913044,2.78,2
19,target,visual,v_de,haptic2visual,Ja,Jankende,Proportie,1.863,1.288,3.013,3.013,1.8,0.346082779,,8,,0.207317073,1.36,2,9,1.8,0.484848485,1.32,1
108,target,visual,v_de,auditory2visual,Ja,Blonde,Pupil,0.607,0.921,4.05,4.05,4.1,0.620110447,0.910093,6,4.4,0.679245283,2.55,4,5,3.8,0.56097561,1.66,0
174,prime,visual,v_de,visual2visual,Ja,Ruige,Pupil,1.545,1.509,3.813,3.813,3.265,0.391598916,0.89657,5,2.73,0.222222222,2.09,5,5,3.8,0.56097561,1.66,0
208,prime,auditory,a_de,auditory2visual,Nee,Krakende,Raad,4.111,1.194,1.236,4.111,2.33,0.460685484,,8,,0.483870968,1.26,1,4,2.33,0.4375,3.35,14
152,prime,visual,v_de,visual2visual,Ja,Zanderige,Race,2.493,1.679,3.014,3.014,4.17,0.235987792,0.956875,9,3.87,0.132352941,0.7,0,4,4.47,0.339622642,2.5,9
168,prime,visual,v_de,visual2visual,Nee,Gevorkte,Race,2.143,2.595,4.048,4.048,4.47,0.353144655,0.945167,8,,0.366666667,0.6,0,4,4.47,0.339622642,2.5,9
57,target,visual,v_de,visual2visual,Nee,Compacte,Reus,1.127,1.127,2.984,2.984,3.435,0.354166667,1.01699,8,2.6,0.375,1.43,1,4,4.27,0.333333333,2.29,7
175,prime,visual,v_de,visual2visual,Nee,Kleine,Reus,0.946,1.884,3.679,3.679,3.5,0.404761905,0.710016,6,2.73,0.476190476,3.67,4,4,4.27,0.333333333,2.29,7
130,prime,haptic,h_de,haptic2visual,Ja,Geneeskrachtige,Rots,0.829,2.557,2.386,2.557,4.73,0.263673891,0.920404,15,,0.176470588,1,0,4,4.73,0.350877193,2.62,8
134,prime,haptic,h_de,haptic2visual,Ja,Korrelige,Rots,0.817,3.357,3.119,3.357,4.43,0.34785239,0.87875,9,4.13,0.344827586,0.3,0,4,4.73,0.350877193,2.62,8
135,prime,haptic,h_de,haptic2visual,Nee,Zere,Rots,1.116,4.107,3.223,4.107,3.165,0.354010025,0.845866,4,1.6,0.357142857,1.86,19,4,4.73,0.350877193,2.62,8
137,prime,haptic,h_de,haptic2visual,Ja,Glibberige,Rots,1.116,4.107,3.161,4.107,4.13,0.356598017,0.709194,10,3.53,0.362318841,1.53,1,4,4.73,0.350877193,2.62,8
115,prime,haptic,h_de,haptic2visual,Nee,Jeukende,Schok,1.992,2.857,1.627,2.857,3.33,0.205882353,,8,,0.333333333,0.95,1,5,3.33,0.078431372,2.62,6
190,prime,auditory,a_de,auditory2visual,Nee,Gierende,Seconde,3.411,1.178,2.156,3.411,2.87,0.306603774,,8,,0.5,1.08,2,7,2.87,0.113207547,2.85,1
85,target,visual,v_de,auditory2visual,Nee,Prachtige,Selectie,1.957,1.286,3.629,3.629,2.065,0.328335374,,9,1.8,0.447368421,3.25,3,8,2.33,0.209302326,2.06,1
6,target,visual,v_de,haptic2visual,Nee,Grove,Sierlijkheid,1.679,2.455,3.446,3.446,2.07,0.274487836,0.931037,5,2.07,0.253521127,2.16,6,12,,0.295454545,0.6,0
64,target,visual,v_de,visual2visual,Nee,Rechthoekige,Sierlijkheid,1.116,2.08,3.884,3.884,4,0.417568543,0.610794,12,4,0.53968254,1,0,12,,0.295454545,0.6,0
61,target,visual,v_de,visual2visual,Nee,Gevouwen,Situatie,1.421,1.693,3.571,3.571,2.27,0.383951407,,8,,0.485294118,1.51,1,8,2.27,0.282608696,3.33,1
97,target,visual,v_de,auditory2visual,Ja,Heldere,Situatie,4,0.607,1.223,4,3.2,0.411304348,0.765895,7,3.8,0.54,2.33,7,8,2.6,0.282608696,3.33,1
170,prime,visual,v_de,visual2visual,Nee,Flikkerende,Socialist,1.313,1.025,3.025,3.025,1.93,0.365418119,,11,,0.535714286,1.18,1,9,1.93,0.195121951,1.46,0
112,prime,haptic,h_de,haptic2visual,Nee,Schurende,Spier,1.743,3.357,3.014,3.357,4.67,0.195349848,,9,,0.102564103,0.48,1,5,4.67,0.288135593,2.04,4
127,prime,haptic,h_de,haptic2visual,Ja,Zachte,Spier,1.643,3.982,3.339,3.982,4.2,0.262488849,0.832062,6,3.73,0.236842105,2.59,14,5,4.67,0.288135593,2.04,4
129,prime,haptic,h_de,haptic2visual,Nee,Plakkende,Spier,1.443,3.657,3.314,3.657,4.67,0.263115416,,9,,0.238095238,0.48,2,5,4.67,0.288135593,2.04,4
143,prime,haptic,h_de,haptic2visual,Ja,Tintelende,Spier,1.018,3.795,2.277,3.795,4.67,0.415806927,,10,,0.543478261,0.78,1,5,4.67,0.288135593,2.04,4
116,prime,haptic,h_de,haptic2visual,Nee,Kleverige,Sterkte,1.75,3.5,2.125,3.5,2.565,0.215163321,0.820183,9,3.53,0.323943662,1.32,1,7,1.6,0.106382979,2.48,2
21,target,visual,v_het,haptic2visual,Nee,Amber,Sterven,1.357,1,2.857,2.857,3.725,0.364439325,0.779902,5,4.18,0.419354839,1.97,1,7,3.27,0.30952381,3.53,5
94,target,visual,v_het,auditory2visual,Ja,Modderig,Sterven,1.329,1.971,3.6,3.6,3.47,0.372710623,0.856102,8,3.67,0.435897436,1.42,1,7,3.27,0.30952381,3.53,5
95,target,visual,v_het,auditory2visual,Ja,Rauw,Sterven,1.329,1.171,3.1,3.1,3.535,0.385531136,0.814663,4,3.8,0.461538462,2.24,11,7,3.27,0.30952381,3.53,5
169,prime,visual,v_het,visual2visual,Nee,Schitterend,Sterven,1.595,1.183,3.444,3.444,2.735,0.361658457,0.854525,11,2.2,0.413793104,2.99,2,7,3.27,0.30952381,3.53,5
88,target,visual,v_de,auditory2visual,Ja,Soepele,Substituut,0.813,2.188,2.75,2.75,2.58,0.340263692,0.99406,7,2.73,0.327586207,1.56,3,10,2.43,0.352941176,0.6,0
18,target,visual,v_het,haptic2visual,Ja,Somber,Type,1.183,0.944,2.516,2.516,2.03,0.333333334,0.926306,6,2.33,0.4,2.43,2,4,1.73,0.266666667,3.08,5
26,target,visual,v_het,haptic2visual,Ja,Spits,Type,0.759,2.313,3.321,3.321,2.7,0.375980393,0.928955,5,3.67,0.485294118,1.89,3,4,1.73,0.266666667,3.08,5
65,target,visual,v_het,visual2visual,Ja,Bruin,Type,0.905,0.778,2.794,2.794,2.765,0.442857143,0.708907,5,3.8,0.619047619,2.68,3,4,1.73,0.266666667,3.08,5
158,prime,visual,v_het,visual2visual,Ja,Klonterig,Type,1.294,1.667,2.794,2.794,2.63,0.271794872,0.708814,9,3.53,0.276923077,0.78,0,4,1.73,0.266666667,3.08,5
75,target,visual,v_de,auditory2visual,Nee,Ongelijke,Uitvinding,2.161,3.125,3.571,3.571,1.865,0.157786886,0.878655,9,1.53,0.25,1.23,0,10,2.2,0.065573771,2.18,0
84,target,visual,v_de,auditory2visual,Ja,Vieze,Uitvinding,1.486,2.6,3.671,3.671,2.6,0.31219865,0.873652,5,3,0.558823529,2.89,10,10,2.2,0.065573771,2.18,0
3,target,visual,v_de,haptic2visual,Nee,Barstende,Veiligheid,2.365,1.5,2.889,2.889,1.93,0.212937063,,9,,0.107692308,1.57,2,10,1.93,0.318181818,3.13,3
5,target,visual,v_de,haptic2visual,Ja,Stevige,Veiligheid,1.893,2.125,3.188,3.188,2.5,0.274475525,0.928228,7,3.07,0.230769231,2.38,1,10,1.93,0.318181818,3.13,3
13,target,visual,v_de,haptic2visual,Ja,Absorberende,Verbeelding,1.524,1,2.683,2.683,1.6,0.317073171,,12,,0.268292683,0.9,1,11,1.6,0.365853659,2.49,0
172,prime,visual,v_de,visual2visual,Nee,Langgerekte,Verbeelding,1.607,1.438,3.821,3.821,2.3,0.37340302,0.862372,11,3,0.380952381,0.48,2,11,1.6,0.365853659,2.49,0
198,prime,auditory,a_de,auditory2visual,Ja,Donderende,Vergadering,3.381,0.968,2.095,3.381,3.27,0.373122834,,10,,0.358490566,0.85,4,11,3.27,0.387755102,2.93,0
215,prime,auditory,a_het,auditory2visual,Ja,Hese,Verhoor,1.897,3.159,2.087,3.159,4.335,0.569157393,0.93572,4,3.8,0.705882353,1.18,18,7,4.87,0.432432433,2.43,4
54,target,visual,v_de,visual2visual,Nee,Fonkelende,Verhulling,2,1,3.367,3.367,3.87,0.339673913,,10,3.87,0.375,1.3,1,10,,0.304347826,0.78,1
69,target,visual,v_de,visual2visual,Ja,Lichtbruine,Verhulling,1.2,1,3.967,3.967,3.6,0.502173913,,11,3.6,0.7,0.9,0,10,,0.304347826,0.78,1
79,target,visual,v_de,auditory2visual,Nee,Vallende,Verhulling,2.05,1.45,3.517,3.517,,0.26905703,,8,,0.233766234,1.99,2,10,,0.304347826,0.78,1
100,target,visual,v_de,auditory2visual,Ja,Wazige,Verhulling,1.4,0.7,3.367,3.367,3.47,0.47826087,,6,3.47,0.652173913,1.51,2,10,,0.304347826,0.78,1
155,prime,visual,v_de,visual2visual,Ja,Mottige,Verhulling,1.8,1.3,2.867,2.867,2.07,0.255639098,,7,2.07,0.142857143,0.6,1,10,,0.368421053,0.78,1
180,prime,visual,v_de,visual2visual,Nee,Doorschijnende,Verhulling,1.25,0.813,3.792,3.792,3.5,0.501011123,,14,3.5,0.697674419,0.48,0,10,,0.304347826,0.78,1
202,prime,auditory,a_de,auditory2visual,Nee,Rinkelende,Verklaring,3.533,1,1.6,3.533,1.8,0.404634581,,10,,0.515151515,0.9,1,10,1.8,0.294117647,3.13,0
184,prime,auditory,a_het,auditory2visual,Nee,Fluitend,Verleden,2.778,1.528,1.583,2.778,1.33,0.223112536,,8,,0.298076923,1.04,2,8,1.33,0.148148148,3.3,7
205,prime,auditory,a_het,auditory2visual,Ja,Gedempt,Verleden,3.378,1.089,1.333,3.378,1.8,0.413359789,0.931374,7,2.27,0.678571429,1.18,1,8,1.33,0.148148148,3.3,7
128,prime,haptic,h_het,haptic2visual,Nee,Hitsig,Vilt,1.688,3.75,2.813,3.75,3.47,0.2625,0.809776,7,2.4,0.125,1.46,1,4,4.54,0.4,1.4,11
138,prime,haptic,h_het,haptic2visual,Nee,Glad,Vilt,1.188,4.375,3.375,4.375,4.305,0.362650603,0.83905,6,4.07,0.325301205,2.17,2,4,4.54,0.4,1.4,11
142,prime,haptic,h_het,haptic2visual,Ja,Slap,Vilt,0.8,3.8,2.75,3.8,3.905,0.408333334,0.723963,6,3.27,0.416666667,2.36,12,4,4.54,0.4,1.4,11
144,prime,haptic,h_het,haptic2visual,Nee,Koud,Vilt,0.9,4.1,2.35,4.1,4.135,0.436111111,0.738496,5,3.73,0.472222222,2.84,8,4,4.54,0.4,1.4,11
117,prime,haptic,h_de,haptic2visual,Ja,Slijmerige,Vloeistof,1.536,4,3.348,4,3.735,0.222513743,0.650393,10,3.27,0.289855072,1.75,1,9,4.2,0.155172414,2.21,0
131,prime,haptic,h_de,haptic2visual,Nee,Taaie,Vloeistof,1.473,3.875,3.161,3.875,3.835,0.283606151,0.864188,5,3.47,0.301587302,2.19,10,9,4.2,0.265625,2.21,0
216,prime,auditory,a_het,auditory2visual,Nee,Lauw,Volume,2.504,2.563,1.429,2.563,3.265,0.57184529,0.871071,4,3.53,0.662921348,1.54,10,6,3,0.480769231,1.99,0
200,prime,auditory,a_het,auditory2visual,Ja,Stil,Voornemen,3.686,1.243,1.836,3.686,2.465,0.37515763,0.876852,4,3.2,0.442622951,3.58,8,9,1.73,0.307692308,1.61,3
68,target,visual,v_de,visual2visual,Nee,Paarse,Vrijheid,1.116,1.116,3.955,3.955,2.8,0.497389654,1.01049,6,4.13,0.790697674,2.15,10,8,1.47,0.204081633,3.11,0
76,target,visual,v_de,auditory2visual,Ja,Krullende,Vrijheid,1.817,2.04,3.365,3.365,1.47,0.213981115,,9,,0.223880597,0.85,1,8,1.47,0.204081633,3.11,0
28,target,visual,v_de,haptic2visual,Nee,Groeiende,Wacht,0.92,1.759,3.527,3.527,3.2,0.415384616,,9,,0.430769231,1.91,3,5,3.2,0.4,3.87,10
55,target,visual,v_de,visual2visual,Nee,Sterke,Wacht,0.982,2.071,3.027,3.027,2.965,0.350793651,0.683177,6,2.73,0.301587302,3.08,7,5,3.2,0.4,3.87,10
59,target,visual,v_de,visual2visual,Nee,Stompe,Wacht,1.057,1.771,3.214,3.214,3.445,0.366666667,0.850451,6,3.69,0.333333333,0.85,5,5,3.2,0.4,3.87,10
165,prime,visual,v_de,visual2visual,Nee,Papperige,Wacht,0.913,1.683,2.381,2.381,3.235,0.307843137,0.717868,9,3.27,0.215686274,0.3,0,5,3.2,0.4,3.87,10
197,prime,auditory,a_het,auditory2visual,Nee,Lachend,Wantrouwen,3.829,0.986,3.014,3.829,2.9,0.34375,0.921945,7,4,0.5,2.03,16,10,1.8,0.1875,1.98,1
11,target,visual,v_de,haptic2visual,Ja,Droge,Weerstand,1.3,2.571,3.671,3.671,3.065,0.309200604,1.0069,5,3.8,0.461538462,2.5,4,9,2.33,0.156862745,2.36,0
12,target,visual,v_de,haptic2visual,Ja,Gesmolten,Weerstand,1.5,1.871,3.671,3.671,2.33,0.31372549,0.945311,9,,0.470588235,2.18,0,9,2.33,0.156862745,2.36,0
203,prime,auditory,a_het,auditory2visual,Ja,Luid,Welkom,3.971,1.257,1.829,3.971,2.765,0.405092593,0.868225,4,3.53,0.625,2.54,11,6,2,0.185185185,3.57,2
110,prime,haptic,h_het,haptic2visual,Nee,Drassig,Welzijn,2.111,3.444,2.944,3.444,2.73,0.157072369,1.02971,7,3.86,0.15625,0.78,0,7,1.6,0.157894737,2.33,0
118,prime,haptic,h_het,haptic2visual,Nee,Doorweekt,Welzijn,1.528,3.59,3.299,3.59,2.565,0.227756893,0.995511,9,3.53,0.297619048,1.86,0,7,1.6,0.157894737,2.33,0
44,target,visual,v_de,visual2visual,Ja,Zwakke,Worp,1.545,2.321,3.402,3.402,3.17,0.255578094,0.819115,6,2.27,0.275862069,2.74,4,4,4.07,0.235294118,2.23,4
47,target,visual,v_de,visual2visual,Ja,Bloedige,Worp,1.357,2.071,3.314,3.314,3.835,0.295066414,0.838693,8,3.6,0.35483871,1.85,2,4,4.07,0.235294118,2.23,4
181,prime,auditory,a_de,auditory2visual,Ja,Zeurende,Wrok,2.548,1.54,1.794,2.548,1.8,0.179861111,,8,,0.270833333,1.38,2,4,1.8,0.088888889,2.2,4
139,prime,haptic,h_het,haptic2visual,Ja,Donzig,Zaad,0.706,3.261,2.939,3.261,4.065,0.384415585,0.672252,6,3.4,0.25974026,1.3,13,4,4.73,0.509090909,2.33,8
124,prime,haptic,h_het,haptic2visual,Nee,Zijdeachtig,Zeer,1.714,3.911,3.08,3.911,1.6,0.255668399,0.880074,12,,0.356164384,0.7,0,4,1.6,0.155172414,3.5,19
10,target,visual,v_de,haptic2visual,Nee,Knappe,Ziekte,1.829,1.743,3.4,3.4,2.83,0.302480339,0.889361,6,2.33,0.517241379,3.01,11,6,3.33,0.087719298,2.98,3
58,target,visual,v_de,visual2visual,Ja,Bleke,Ziekte,1.929,1.443,3.6,3.6,3.63,0.354204477,0.818318,5,3.93,0.620689655,1.92,4,6,3.33,0.087719298,2.98,3
86,target,visual,v_de,auditory2visual,Nee,Glimmende,Ziekte,1.829,1.643,3.7,3.7,3.5,0.33418223,1.03236,9,3.67,0.580645161,1.94,2,6,3.33,0.087719298,2.98,3
